metric_group,end_use,variant_id,units,value,source_field_id,source_label,excel_row
co2e,refrigerator,code_minimum,tonsCO2e,0.2101338288,co2e.refrigerator,Refrigerator,508
co2e,cooking,code_minimum,tonsCO2e,0,co2e.cooking,Cooking,509
co2e,phi_lighting,code_minimum,tonsCO2e,0,co2e.phi_lighting,PHI Lighting,510
co2e,phi_consumer_elec,code_minimum,tonsCO2e,0.175583058203,co2e.phi_consumer_elec,PHI Consumer Elec.,511
co2e,phi_small_appliances,code_minimum,tonsCO2e,0.0188933770262,co2e.phi_small_appliances,PHI Small Appliances,512
co2e,phius_int_lighting,code_minimum,tonsCO2e,0,co2e.phius_int_lighting,Phius Int. Lighting,513
co2e,phius_ext_lighting,code_minimum,tonsCO2e,0,co2e.phius_ext_lighting,Phius Ext. Lighting,514
co2e,phius_mel,code_minimum,tonsCO2e,0,co2e.phius_mel,Phius MEL,515
co2e,aux_elec,code_minimum,tonsCO2e,0,co2e.aux_elec,Aux Elec,516
co2e,ipcc_limit,code_minimum,tonsCO2e,3.25101253724,co2e.ipcc_limit,IPCC Limit,517
phius_net_source_energy,total,code_minimum,kWh,64488.6439558,primary_energy.*,Primary Energy total,
phius_net_source_energy,limit,code_minimum,kWh,18612.0467757,certification_limits.phius_net_source_energy_limit,PHIUS Net Source Energy Limit,371
site_energy,heating,improved_envelope,kWh,27121.310166,site_energy.heating,Heating,423
site_energy,cooling,improved_envelope,kWh,2393.77920835,site_energy.cooling,Cooling,424
site_energy,dhw,improved_envelope,kWh,8645.02849521,site_energy.dhw,DHW,425
site_energy,dishwashing,improved_envelope,kWh,217.410354337,site_energy.dishwashing,Dishwashing,426
site_energy,clothes_washing,improved_envelope,kWh,284.134086886,site_energy.clothes_washing,Clothes Washing,427
site_energy,clothes_drying,improved_envelope,kWh,12.6438385941,site_energy.clothes_drying,Clothes Drying,428
site_energy,refrigerator,improved_envelope,kWh,730,site_energy.refrigerator,Refrigerator,429
site_energy,cooking,improved_envelope,kWh,0,site_energy.cooking,Cooking,430
site_energy,phi_lighting,improved_envelope,kWh,0,site_energy.phi_lighting,PHI Lighting,431
site_energy,phi_consumer_elec,improved_envelope,kWh,609.97143211,site_energy.phi_consumer_elec,PHI Consumer Elec.,432
site_energy,phi_small_appliances,improved_envelope,kWh,65.6351493135,site_energy.phi_small_appliances,PHI Small Appliances,433
site_energy,phius_int_lighting,improved_envelope,kWh,0,site_energy.phius_int_lighting,Phius Int. Lighting,434
site_energy,phius_ext_lighting,improved_envelope,kWh,0,site_energy.phius_ext_lighting,Phius Ext. Lighting,435
site_energy,phius_mel,improved_envelope,kWh,0,site_energy.phius_mel,Phius MEL,436
site_energy,aux_elec,improved_envelope,kWh,0,site_energy.aux_elec,Aux Elec,437
site_energy,solar_pv,improved_envelope,kWh,0,site_energy.solar_pv,Solar PV,438
primary_energy,heating,improved_envelope,kWh,30790.5120273,primary_energy.heating,Heating,441
phius_net_source_energy,heating,improved_envelope,kWh,30790.5120273,primary_energy.heating,Heating,441
primary_energy,cooling,improved_envelope,kWh,6223.82594172,primary_energy.cooling,Cooling,442
phius_net_source_energy,cooling,improved_envelope,kWh,6223.82594172,primary_energy.cooling,Cooling,442
primary_energy,dhw,improved_envelope,kWh,9903.79079767,primary_energy.dhw,DHW,443
phius_net_source_energy,dhw,improved_envelope,kWh,9903.79079767,primary_energy.dhw,DHW,443
primary_energy,dishwashing,improved_envelope,kWh,565.266921277,primary_energy.dishwashing,Dishwashing,444
phius_net_source_energy,dishwashing,improved_envelope,kWh,565.266921277,primary_energy.dishwashing,Dishwashing,444
primary_energy,clothes_washing,improved_envelope,kWh,738.748625905,primary_energy.clothes_washing,Clothes Washing,445
phius_net_source_energy,clothes_washing,improved_envelope,kWh,738.748625905,primary_energy.clothes_washing,Clothes Washing,445
primary_energy,clothes_drying,improved_envelope,kWh,32.8739803447,primary_energy.clothes_drying,Clothes Drying,446
phius_net_source_energy,clothes_drying,improved_envelope,kWh,32.8739803447,primary_energy.clothes_drying,Clothes Drying,446
primary_energy,refrigerator,improved_envelope,kWh,1898,primary_energy.refrigerator,Refrigerator,447
phius_net_source_energy,refrigerator,improved_envelope,kWh,1898,primary_energy.refrigerator,Refrigerator,447
primary_energy,cooking,improved_envelope,kWh,0,primary_energy.cooking,Cooking,448
phius_net_source_energy,cooking,improved_envelope,kWh,0,primary_energy.cooking,Cooking,448
primary_energy,phi_lighting,improved_envelope,kWh,0,primary_energy.phi_lighting,PHI Lighting,449
phius_net_source_energy,phi_lighting,improved_envelope,kWh,0,primary_energy.phi_lighting,PHI Lighting,449
primary_energy,phi_consumer_elec,improved_envelope,kWh,1585.92572349,primary_energy.phi_consumer_elec,PHI Consumer Elec.,450
phius_net_source_energy,phi_consumer_elec,improved_envelope,kWh,1585.92572349,primary_energy.phi_consumer_elec,PHI Consumer Elec.,450
primary_energy,phi_small_appliances,improved_envelope,kWh,170.651388215,primary_energy.phi_small_appliances,PHI Small Appliances,451
phius_net_source_energy,phi_small_appliances,improved_envelope,kWh,170.651388215,primary_energy.phi_small_appliances,PHI Small Appliances,451
primary_energy,phius_int_lighting,improved_envelope,kWh,0,primary_energy.phius_int_lighting,Phius Int. Lighting,452
phius_net_source_energy,phius_int_lighting,improved_envelope,kWh,0,primary_energy.phius_int_lighting,Phius Int. Lighting,452
primary_energy,phius_ext_lighting,improved_envelope,kWh,0,primary_energy.phius_ext_lighting,Phius Ext. Lighting,453
phius_net_source_energy,phius_ext_lighting,improved_envelope,kWh,0,primary_energy.phius_ext_lighting,Phius Ext. Lighting,453
primary_energy,phius_mel,improved_envelope,kWh,0,primary_energy.phius_mel,Phius MEL,454
phius_net_source_energy,phius_mel,improved_envelope,kWh,0,primary_energy.phius_mel,Phius MEL,454
primary_energy,aux_elec,improved_envelope,kWh,0,primary_energy.aux_elec,Aux Elec,455
phius_net_source_energy,aux_elec,improved_envelope,kWh,0,primary_energy.aux_elec,Aux Elec,455
primary_energy,solar_pv,improved_envelope,kWh,0,primary_energy.solar_pv,Solar PV,456
phius_net_source_energy,solar_pv,improved_envelope,kWh,0,primary_energy.solar_pv,Solar PV,456
per,heating,improved_envelope,kWh,47302.7809831,primary_energy_renewable.heating,Heating,520
per,cooling,improved_envelope,kWh,3470.97985211,primary_energy_renewable.cooling,Cooling,521
per,dhw,improved_envelope,kWh,14971.0960855,primary_energy_renewable.dhw,DHW,522
per,dishwashing,improved_envelope,kWh,260.892425205,primary_energy_renewable.dishwashing,Dishwashing,523
per,clothes_washing,improved_envelope,kWh,340.960904264,primary_energy_renewable.clothes_washing,Clothes Washing,524
per,clothes_drying,improved_envelope,kWh,15.1726063129,primary_energy_renewable.clothes_drying,Clothes Drying,525
per,refrigerator,improved_envelope,kWh,876,primary_energy_renewable.refrigerator,Refrigerator,526
per,cooking,improved_envelope,kWh,0,primary_energy_renewable.cooking,Cooking,527
per,phi_lighting,improved_envelope,kWh,0,primary_energy_renewable.phi_lighting,PHI Lighting,528
per,phi_consumer_elec,improved_envelope,kWh,731.965718533,primary_energy_renewable.phi_consumer_elec,PHI Consumer Elec.,529
per,phi_small_appliances,improved_envelope,kWh,78.7621791762,primary_energy_renewable.phi_small_appliances,PHI Small Appliances,530
per,phius_int_lighting,improved_envelope,kWh,0,primary_energy_renewable.phius_int_lighting,Phius Int. Lighting,531
per,phius_ext_lighting,improved_envelope,kWh,0,primary_energy_renewable.phius_ext_lighting,Phius Ext. Lighting,532
per,phius_mel,improved_envelope,kWh,0,primary_energy_renewable.phius_mel,Phius MEL,533
per,aux_elec,improved_envelope,kWh,0,primary_energy_renewable.aux_elec,Aux Elec,534
per,solar_pv,improved_envelope,kWh,0,primary_energy_renewable.solar_pv,Solar PV,535
co2e,heating,improved_envelope,tonsCO2e,4.98293038128,co2e.heating,Heating,502
co2e,cooling,improved_envelope,tonsCO2e,0.689060260758,co2e.cooling,Cooling,503
co2e,dhw,improved_envelope,tonsCO2e,1.59466993571,co2e.dhw,DHW,504
co2e,dishwashing,improved_envelope,tonsCO2e,0.0625825618872,co2e.dishwashing,Dishwashing,505
co2e,clothes_washing,improved_envelope,tonsCO2e,0.0817892925617,co2e.clothes_washing,Clothes Washing,506
co2e,clothes_drying,improved_envelope,tonsCO2e,0.00363958659521,co2e.clothes_drying,Clothes Drying,507
co2e,refrigerator,improved_envelope,tonsCO2e,0.2101338288,co2e.refrigerator,Refrigerator,508
co2e,cooking,improved_envelope,tonsCO2e,0,co2e.cooking,Cooking,509
co2e,phi_lighting,improved_envelope,tonsCO2e,0,co2e.phi_lighting,PHI Lighting,510
co2e,phi_consumer_elec,improved_envelope,tonsCO2e,0.175583058203,co2e.phi_consumer_elec,PHI Consumer Elec.,511
co2e,phi_small_appliances,improved_envelope,tonsCO2e,0.0188933770262,co2e.phi_small_appliances,PHI Small Appliances,512
co2e,phius_int_lighting,improved_envelope,tonsCO2e,0,co2e.phius_int_lighting,Phius Int. Lighting,513
co2e,phius_ext_lighting,improved_envelope,tonsCO2e,0,co2e.phius_ext_lighting,Phius Ext. Lighting,514
co2e,phius_mel,improved_envelope,tonsCO2e,0,co2e.phius_mel,Phius MEL,515
co2e,aux_elec,improved_envelope,tonsCO2e,0,co2e.aux_elec,Aux Elec,516
co2e,ipcc_limit,improved_envelope,tonsCO2e,3.25101253724,co2e.ipcc_limit,IPCC Limit,517
phius_net_source_energy,total,improved_envelope,kWh,51909.5954059,primary_energy.*,Primary Energy total,
phius_net_source_energy,limit,improved_envelope,kWh,18612.0467757,certification_limits.phius_net_source_energy_limit,PHIUS Net Source Energy Limit,371
site_energy,heating,as_drawn_envelope,kWh,18381.0552186,site_energy.heating,Heating,423
site_energy,cooling,as_drawn_envelope,kWh,2299.13625182,site_energy.cooling,Cooling,424
site_energy,dhw,as_drawn_envelope,kWh,8661.08612508,site_energy.dhw,DHW,425
site_energy,dishwashing,as_drawn_envelope,kWh,217.410354337,site_energy.dishwashing,Dishwashing,426
site_energy,clothes_washing,as_drawn_envelope,kWh,284.134086886,site_energy.clothes_washing,Clothes Washing,427
site_energy,clothes_drying,as_drawn_envelope,kWh,12.6438385941,site_energy.clothes_drying,Clothes Drying,428
site_energy,refrigerator,as_drawn_envelope,kWh,730,site_energy.refrigerator,Refrigerator,429
site_energy,cooking,as_drawn_envelope,kWh,0,site_energy.cooking,Cooking,430
site_energy,phi_lighting,as_drawn_envelope,kWh,0,site_energy.phi_lighting,PHI Lighting,431
site_energy,phi_consumer_elec,as_drawn_envelope,kWh,609.97143211,site_energy.phi_consumer_elec,PHI Consumer Elec.,432
site_energy,phi_small_appliances,as_drawn_envelope,kWh,65.6351493135,site_energy.phi_small_appliances,PHI Small Appliances,433
site_energy,phius_int_lighting,as_drawn_envelope,kWh,0,site_energy.phius_int_lighting,Phius Int. Lighting,434
